PG.ProteinGroups;PG.Genes;[1] 20230119_HB_NUR_Evo_Whisper100_WishDIA_120k_120k_cKIT_mBM_500c_44.raw.PG.Quantity;[2] 20230119_HB_NUR_Evo_Whisper100_WishDIA_120k_120k_cKIT_mBM_500c_45.raw.PG.Quantity;[3] 20230119_HB_NUR_Evo_Whisper100_WishDIA_120k_120k_cKIT_mBM_500c_46.raw.PG.Quantity;[4] 20230119_HB_NUR_Evo_Whisper100_WishDIA_120k_120k_cKIT_mBM_500c_47.raw.PG.Quantity
"A2A8Z1;A2A8Z1-2";Osbpl9;206,92942810058594;509,8232421875;NaN;NaN
A2ABU4;Myom3;526,1398315429688;NaN;2438,084228515625;548,1182250976562
A2ADY9;Ddi2;1399,1993408203125;812,8455200195312;NaN;1018,661376953125
"A2AN08;A2AN08-2;A2AN08-3;A2AN08-5";Ubr4;159,74864196777344;181,5858612060547;332,04388427734375;282,2655334472656
A2AR02;Ppig;621,1187133789062;633,8922729492188;432,2063293457031;395,1854553222656
A2ASS6;Ttn;161757,125;189161,578125;3774692;207548,109375
A2AUC9;Klhl41;NaN;NaN;1680,929443359375;NaN
"A2AAJ9;A2AAJ9-2";Obscn;NaN;NaN;4219,09619140625;455,26373291015625
B1AZI6;Thoc2;172,39942932128906;118,1755599975586;NaN;168,8785858154297
"B2RQC6;B2RQC6-2";Cad;5056,06103515625;4763,271484375;2723,34765625;5860,046875
B2RVL6;Zcchc24;5124,09228515625;127,50081634521484;NaN;178,72496032714844
"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2";"Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj";302069,90625;361003,75;175130,234375;269791,59375
D3YXK2;Safb;57,69963073730469;NaN;NaN;NaN
D3Z6Q9;Bin2;1370,6383056640625;1944,518798828125;1175,8421630859375;1179,6611328125
"D3Z7P3;D3Z7P3-2";Gls;2130,7568359375;2430,6025390625;3711,50634765625;1683,4432373046875
E9PVA8;Gcn1;4864,08837890625;4113,2958984375;4251,39208984375;7367,49169921875
E9PVX6;Mki67;5834,90478515625;8662,3056640625;2288,290771484375;7356,6611328125
E9PZQ0;Ryr1;NaN;NaN;2483,885986328125;NaN
E9Q1P8;Irf2bp2;526,904052734375;568,4811401367188;345,16973876953125;429,46087646484375
E9Q555;Rnf213;353,27642822265625;417,173095703125;268,7635803222656;292,07562255859375
E9Q557;Dsp;65995,6484375;5072,22900390625;72653,7265625;47854,58203125
"E9Q5C9;E9Q5C9-2";Nolc1;2614,46875;3263,889892578125;882,226806640625;2347,667724609375
E9Q634;Myo1e;122,53315734863281;187,87176513671875;582,7789916992188;151,68008422851562
E9Q7G0;Numa1;2704,3623046875;2963,316650390625;2002,3056640625;2436,9599609375
F2YMG0;Prss56;574,8318481445312;943,7650756835938;765,3262939453125;1100,8060302734375
F6ZDS4;Tpr;3418,15478515625;3408,011474609375;2606,3857421875;3041,803955078125
F7BJB9;Morc3;204,0853729248047;74,74382781982422;NaN;NaN
G3X9C2;Nccrp1;9774,466796875;2206,6181640625;9593,3759765625;10412,5869140625
"G5E829;Q6Q477;Q6Q477-2;Q9R0K7";"Atp2b1;Atp2b4;Atp2b4;Atp2b2";360,7699279785156;418,33282470703125;535,0902099609375;350,7732238769531
O08528;Hk2;103,6864242553711;273,9744873046875;238,1935577392578;NaN
O08532;Cacna2d1;NaN;NaN;3155,830322265625;NaN
O08547;Sec22b;3251,067138671875;4954,5419921875;5372,34716796875;2432,50439453125
O08553;Dpysl2;1746,785888671875;1168,64697265625;NaN;861,6590576171875
O08573-2;Lgals9;4401,14501953125;3863,78564453125;4227,9873046875;4908,212890625
O08579;Emd;369,08099365234375;810,0375366210938;936,4937133789062;805,2467041015625
O08582;Gtpbp1;3035,6220703125;3268,806640625;2014,890380859375;4416,04931640625
"O08583;O08583-2";Alyref;4573,25;6871,439453125;2982,63720703125;4428,90234375
O08600;Endog;65,80231475830078;NaN;581,4575805664062;NaN
O08692;Ngp;69098,1484375;236432,078125;162710,53125;151215,96875
