PG.ProteinGroups,PG.Genes,[1] GMP_mBM_500c_36.raw.PG.Quantity,[2] GMP_mBM_500c_37.raw.PG.Quantity,[3] GMP_mBM_500c_38.raw.PG.Quantity,[4] GMP_mBM_500c_39.raw.PG.Quantity
A2ADY9,Ddi2,"9,932,152,709,960,930","13,909,698,486,328,100","7,031,865,234,375","1,394,771,728,515,620"
A2AGT5;A2AGT5-2;A2AGT5-3,Ckap5,"676,575,390,625","3,179,423,583,984,370","46,291,005,859,375","3,350,278,076,171,870"
A2AIV8,Card9,"3,291,961,181,640,620","462,818,603,515,625","31,879,931,640,625","3,365,655,029,296,870"
A2AKG8,Focad,"31,238,431,930,541,900","2,797,583,312,988,280","4,630,515,441,894,530",NaN
A2AN08;A2AN08-2;A2AN08-3;A2AN08-5,Ubr4,"101,509,521,484,375","11,534,674,072,265,600","1,767,622,528,076,170","21,538,990,783,691,400"
A2ASS6,Ttn,"37,076,318,359,375","124,296,396,484,375","581,413,330,078,125","4,664,435,546,875"
B1AQ75,Krt36,"17,583,978,271,484,300",NaN,NaN,"877,763,442,993,164"
B2RQC6;B2RQC6-2,Cad,"462,423,095,703,125","6,547,634,765,625","578,515,673,828,125","80,742,646,484,375"
B2RY56,Rbm25,"2,666,578,674,316,400","6,365,380,249,023,430","4,363,243,713,378,900","7,037,747,192,382,810"
B9EJ86,Osbpl8,"7,064,305,877,685,540",NaN,NaN,NaN
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj,"39,125,640,625","52,248,778,125","33,448,640,625","27,587,434,375"
D0QMC3,Mndal,"750,315,673,828,125","528,960,107,421,875","562,076,123,046,875","5,133,771,484,375"
D3Z4I3;Q62176,Rbm24;Rbm38,"7,692,374,877,929,680","7,326,233,520,507,810","9,474,166,259,765,620","5,476,227,416,992,180"
D3Z6Q9,Bin2,"585,921,044,921,875","2,850,300,048,828,120","3,657,749,267,578,120","43,725,517,578,125"
D3Z7H8,Cilp2,"1,313,546,875",NaN,NaN,NaN
D3Z7P3;D3Z7P3-2,Gls,"622,620,361,328,125","8,566,224,365,234,370","4,800,910,949,707,030","8,916,944,580,078,120"
E9PV24;E9PV24-2,Fga,"113,425,048,828,125","53,758,949,279,785,100","41,244,354,248,046,800","11,883,488,464,355,400"
E9PVA8,Gcn1,"191,089,501,953,125","310,359,033,203,125","138,210,888,671,875","3,120,051,025,390,620"
E9PVX6,Mki67,"613,669,482,421,875","108,948,388,671,875","599,598,193,359,375","534,360,595,703,125"
E9Q1P8,Irf2bp2,"6,733,273,315,429,680","12,844,620,361,328,100","91,605,517,578,125","10,409,708,251,953,100"
E9Q555,Rnf213,"5,965,902,099,609,370","6,903,796,997,070,310","8,837,881,469,726,560","8,833,635,864,257,810"
E9Q557,Dsp,"231,994,390,625","2,101,677,734,375","43,368,078,125","546,745,068,359,375"
E9Q5C9;E9Q5C9-2,Nolc1,"454,778,857,421,875","742,774,365,234,375","295,840,380,859,375","680,403,466,796,875"
E9Q7G0,Numa1,"4,942,568,359,375","535,929,443,359,375","524,960,693,359,375","488,965,478,515,625"
E9Q7T7,Chadl,"461,048,291,015,625",NaN,NaN,NaN
E9Q8T7,Dnah1,"238,667,138,671,875","3,227,693,115,234,370","24,601,998,901,367,100","20,138,485,107,421,800"
F6ZDS4,Tpr,"43,778,486,328,125","59,535,927,734,375","47,528,134,765,625","57,868,193,359,375"
F7BJB9,Morc3,"12,457,627,868,652,300","7,655,332,641,601,560","4,869,582,214,355,460","5,687,235,107,421,870"
G3X9C2,Nccrp1,"2,601,349,609,375","45,598,994,140,625","503,087,744,140,625","11,572,109,375"
G5E870,Trip12,"5,020,910,339,355,460",NaN,"28,278,179,931,640,600","3,550,234,680,175,780"
O08528,Hk2,"153,730,322,265,625","9,200,481,567,382,810","91,903,271,484,375","6,311,039,428,710,930"
O08539;O08539-2,Bin1,"13,883,102,416,992,100","14,007,230,224,609,300","9,540,328,369,140,620","889,784,912,109,375"
O08547,Sec22b,"86,486,376,953,125","332,493,115,234,375","360,935,595,703,125","4,068,671,142,578,120"
O08553,Dpysl2,"8,136,123,657,226,560","1,973,186,279,296,870","9,176,317,749,023,430","8,388,524,780,273,430"
O08573;O08573-2;O08573-3,Lgals9,"396,527,685,546,875","89,155,947,265,625","9,675,193,359,375","801,598,095,703,125"
O08579,Emd,"6,638,689,575,195,310","7,630,491,333,007,810","7,999,357,299,804,680","10,487,672,119,140,600"
O08582,Gtpbp1,"250,641,357,421,875","324,671,923,828,125","439,418,310,546,875","374,598,486,328,125"
O08583;O08583-2,Alyref,"491,740,380,859,375","75,197,197,265,625","55,042,236,328,125","52,906,728,515,625"
O08585,Clta,"6,821,734,008,789,060","9,666,934,814,453,120","12,068,067,626,953,100","8,320,520,629,882,810"
O08663,Metap2,"7,038,993,530,273,430","9,507,810,668,945,310","6,065,425,415,039,060","10,629,210,205,078,100"
O08692,Ngp,"170,561,609,375","953,736,875","286855,75","132,691,796,875"
O08709,Prdx6,"3,296,900,390,625","3,508,953,125","56,048,890,625","53,075,515,625"
O08734,Bak1,"806,233,642,578,125",NaN,"5,433,789,672,851,560","7,444,549,560,546,870"
O08739,Ampd3,"21,471,292,114,257,800","3,198,035,888,671,870","29,893,499,755,859,300","22,274,252,319,335,900"
O08749,Dld,"17,622,578,125","15,389,333,984,375","136,227,080,078,125","14,419,392,578,125"
O08756,Hsd17b10,"131,904,482,421,875","123,869,208,984,375","139,904,794,921,875","1,383,534,765,625"
O08759;O08759-2;O08759-3,Ube3a,"6,603,855,590,820,310","13,348,690,185,546,800",NaN,"8,070,687,255,859,370"
O08784,Tcof1,"211,586,865,234,375","17,486,854,248,046,800","151,702,099,609,375","2,058,375,244,140,620"
O08788;O08788-2,Dctn1,"2,273,817,626,953,120","3,284,239,990,234,370","3,531,495,361,328,120","3,217,661,865,234,370"
O08795;O08795-2,Prkcsh,"3,298,362,548,828,120","2,798,511,474,609,370","31,710,283,203,125","271,162,451,171,875"
O08807,Prdx4,"2,536,904,296,875","14,055,535,888,671,800","12,903,651,123,046,800","121,323,388,671,875"
O08808,Diaph1,"14,904,017,333,984,300","1,067,908,203,125","1,532,884,765,625","1,330,260,498,046,870"
O08810,Eftud2,"516,387,841,796,875","6,697,560,546,875","4,886,939,453,125","6,620,896,484,375"
O08912,Galnt1,NaN,NaN,"5,497,852,783,203,120","3,279,160,461,425,780"
O08917,Flot1,"34,466,337,890,625","263,946,923,828,125","349,103,759,765,625","2,536,344,482,421,870"
O08997,Atox1,"550,281,396,484,375","579,060,302,734,375","659,724,853,515,625","69,906,806,640,625"
O09044,Snap23,"671,219,140,625","5,900,248,046,875","488,060,205,078,125","67,589,169,921,875"
O09061,Psmb1,"11,946,041,015,625","93,648,017,578,125","111,544,296,875","10,486,873,046,875"
O09106,Hdac1,"1,157,999,609,375","13,266,751,953,125","11,215,103,515,625","12,867,212,890,625"
O09111,Ndufb11,"16,743,770,751,953,100","216,940,771,484,375","11,436,971,435,546,800","141,159,619,140,625"
O09131,Gsto1,"82,679,931,640,625","744,234,130,859,375","11,066,021,484,375","1,112,975,390,625"
O09159,Man2b1,"92,625,830,078,125","506,085,302,734,375","79,565,908,203,125","62,719,697,265,625"
O09165,Casq1,"35,371,611,328,125","207,815,966,796,875","5,604,036,254,882,810","493,226,318,359,375"
O09167,Rpl21,"223,589,111,328,125","486,808,935,546,875","53,320,517,578,125","7,020,875"
O09172,Gclm,"348,892,626,953,125","4,800,611,328,125","3,781,461,669,921,870","553,500,048,828,125"
O35103,Omd,"50,660,357,666,015,600",NaN,NaN,NaN
O35114,Scarb2,"3,165,852,294,921,870","12,201,898,193,359,300","14,720,667,724,609,300","10,326,607,666,015,600"
O35129,Phb2,"227,074,296,875","30,647,919,921,875","162,641,640,625","3,037,490,234,375"
O35130,Emg1,"599,542,236,328,125","8,995,194,702,148,430","6,201,965,942,382,810","13,590,428,466,796,800"
O35215,Ddt,"72,938,623,046,875","3,161,340,026,855,460","46,106,097,412,109,300","4,661,782,531,738,280"
O35218,Cpsf2,"855,566,796,875","117,737,783,203,125","924,026,171,875","141,066,904,296,875"
O35226;O35226-2;O35226-3;O35226-4;O35226-5,Psmd4,"2,402,144,775,390,620","2,310,485,107,421,870","6,802,960,205,078,120","9,075,525,512,695,310"
O35250;O35250-2,Exoc7,"14,253,067,016,601,500","16,541,209,411,621,000","14,239,854,431,152,300","19,695,022,583,007,800"
O35286,Dhx15,"608,477,685,546,875","703,138,427,734,375","7,658,177,734,375","744,401,123,046,875"
O35326,Srsf5,"456,355,322,265,625","526,809,912,109,375","3,637,968,017,578,120","537,815,869,140,625"
O35344,Kpna3,"5,742,643,432,617,180","11,980,272,216,796,800","79,453,515,625","11,078,182,373,046,800"
O35350,Capn1,"724,070,263,671,875","629,353,857,421,875","612,477,294,921,875","58,740,908,203,125"
O35381,Anp32a,"148,111,416,015,625","129,022,333,984,375","15,272,724,609,375","156,427,841,796,875"
O35405,Pld3,"2,587,878,125","11,649,033,203,125","15,838,615,234,375","139,768,046,875"
O35435,Dhodh,"100,583,837,890,625","108,703,759,765,625","7,681,876,831,054,680","13,688,572,998,046,800"
O35448,Ppt2,"3,028,262,710,571,280",NaN,NaN,NaN
O35459,Ech1,"224,885,107,421,875","19,060,408,935,546,800","18,610,899,658,203,100","142,172,509,765,625"
O35593,Psmd14,"5,159,530,029,296,870","9,560,836,791,992,180","8,197,996,215,820,310","10,041,966,552,734,300"
O35609,Scamp3,"1,877,024,658,203,120","1,292,486,572,265,620","16,406,077,880,859,300","17,384,071,044,921,800"
O35639,Anxa3,"11,075,349,609,375","85,329,169,921,875","19,202,591,796,875","8,919,685,546,875"
O35643,Ap1b1,"4,467,328,125","409,622,998,046,875","395,894,677,734,375","403,257,177,734,375"
O35654,Pold2,"4,679,456,481,933,590","8,315,603,637,695,310","10,072,901,000,976,500","8,257,955,932,617,180"
O35658,C1qbp,"18,385,435,546,875","2,592,841,796,875","20,260,876,953,125","24,258,740,234,375"
