PG.ProteinGroups,PG.Genes,[1] HSC_mBM_500c_49.raw.PG.Quantity,[2] HSC_mBM_500c_50.raw.PG.Quantity,[3] HSC_mBM_500c_51.raw.PG.Quantity,[4] HSC_mBM_500c_56.raw.PG.Quantity
A2ADY9,Ddi2,"16,729,742,431,640,600","1,295,440,185,546,870","118,745,556,640,625","18,023,924,560,546,800"
A2AGT5;A2AGT5-2;A2AGT5-3,Ckap5,"4,037,074,951,171,870","3,363,938,232,421,870","3,236,297,119,140,620","4,098,087,890,625"
A2APB8,Tpx2,NaN,"4,616,780,090,332,030","4,467,773,132,324,210",NaN
A2AR02,Ppig,"5,045,869,140,625","7,992,947,387,695,310","537,119,140,625","6,199,302,368,164,060"
A2ASS6,Ttn,"10,163,968,505,859,300","138,523,583,984,375","206,778,662,109,375","2,597,450,439,453,120"
A2BH40;A2BH40-2;A2BH40-3;A2BH40-4,Arid1a,"2,133,029,296,875","14,976,634,521,484,300","1,455,044,677,734,370","18,233,896,484,375"
A8C756;A8C756-2;A8C756-3,Thada,NaN,"15,947,850,036,621,000","4,143,839,111,328,120","1,458,646,697,998,040"
B1AY13,Usp24,"24,493,746,948,242,100","22,629,965,209,960,900","985,904,541,015,625",NaN
B1AZI6,Thoc2,"42,523,828,125","3,588,768,615,722,650","425,590,576,171,875",NaN
B2RQC6;B2RQC6-2,Cad,"761,399,658,203,125","748,515,625","88,235,234,375","776,045,166,015,625"
B2RUP2;B2RUP2-2,Unc13d,"21,809,820,556,640,600","18,472,560,119,628,900","8,685,440,063,476,560",NaN
B2RY56,Rbm25,"7,748,504,028,320,310","92,841,796,875","61,961,767,578,125","5,512,749,633,789,060"
C0HKD8;C0HKD9,Mfap1a;Mfap1b,"3,114,527,893,066,400","34,984,075,927,734,300","31,592,987,060,546,800","3,864,923,095,703,120"
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj,"28,655,278,125","259,255,359,375","263,120,625","22,322,890,625"
C0HKG5;C0HKG6,Rnaset2a;Rnaset2b,"88,755,517,578,125","12,233,641,357,421,800","676,919,921,875","13,260,916,748,046,800"
D3Z4I3;Q62176,Rbm24;Rbm38,"3,926,495,361,328,120",NaN,"2,939,718,322,753,900","1,944,088,897,705,070"
D3Z6Q9,Bin2,"3,219,984,375","23,968,125","16,473,055,419,921,800","3,076,161,376,953,120"
D3Z7P3;D3Z7P3-2,Gls,"15,508,038,330,078,100","1,547,145,263,671,870","2,151,851,318,359,370","1,845,126,953,125"
E9PVA8,Gcn1,"17,527,010,498,046,800","131,695,361,328,125","1,719,549,560,546,870","2,049,867,919,921,870"
E9PVX6,Mki67,"106,193,173,828,125","77,688,310,546,875","10,016,283,203,125","7,402,169,921,875"
E9Q1P8,Irf2bp2,"6,631,511,840,820,310","7,272,144,775,390,620","7,373,765,869,140,620","6,414,140,625"
E9Q555,Rnf213,"6,963,585,815,429,680","6,703,661,499,023,430","7,557,214,965,820,310","901,075,439,453,125"
E9Q557,Dsp,"3,161,278,564,453,120","2,747,756,103,515,620","154,044,580,078,125","17,919,581,298,828,100"
E9Q5C9;E9Q5C9-2,Nolc1,"446,863,134,765,625","4,533,607,421,875","60,918,740,234,375","41,308,701,171,875"
E9Q7G0,Numa1,"2,068,215,625","17,012,609,375","18,087,748,046,875","25,497,431,640,625"
E9Q8T7,Dnah1,"9,267,724,609,375","292,038,427,734,375","2,753,265,869,140,620","358,971,630,859,375"
F6ZDS4,Tpr,"3,091,087,646,484,370","32,873,505,859,375","357,734,521,484,375","3,001,819,091,796,870"
G3UYX5,Rgs22,"19,621,005,859,375","14,900,660,400,390,600","2,082,514,404,296,870","411,463,525,390,625"
G3X9C2,Nccrp1,"306,296,142,578,125","3,895,218,200,683,590",NaN,"6,194,938,659,667,960"
G5E870,Trip12,"5,346,591,186,523,430","45,594,903,564,453,100","4,020,284,423,828,120","6,444,972,991,943,350"
O08547,Sec22b,"3,050,942,626,953,120","2,912,537,109,375","2,725,701,416,015,620","1,692,141,845,703,120"
O08553,Dpysl2,"1,141,998,779,296,870","6,147,537,231,445,310","4,833,940,124,511,710","17,713,145,751,953,100"
O08573;O08573-2;O08573-3,Lgals9,"665,906,201,171,875","617,347,314,453,125","63,522,548,828,125","702,466,845,703,125"
O08579,Emd,"14,286,883,544,921,800","1,222,163,330,078,120","11,426,180,419,921,800","1,464,603,271,484,370"
O08582,Gtpbp1,"56,369,306,640,625","618,577,099,609,375","614,999,755,859,375","61,218,125"
O08583;O08583-2,Alyref,"87,456,015,625","657,888,134,765,625","94,118,623,046,875","7,957,095,703,125"
O08585,Clta,"940,584,716,796,875","4,817,303,161,621,090","4,791,038,818,359,370","547,650,146,484,375"
O08663,Metap2,"33,568,890,380,859,300","4,489,808,044,433,590","62,026,025,390,625",NaN
O08692,Ngp,"1,645,738,125","177,700,859,375","37,898,234,375","709,420,859,375"
O08709,Prdx6,"4,172,885,546,875","5,348,069,921,875","6,139,519,921,875","5,931,181,640,625"
O08734,Bak1,"7,291,539,306,640,620","5,864,610,595,703,120","48,913,250,732,421,800","6,473,082,885,742,180"
O08749,Dld,"346,726,904,296,875","3,502,042,236,328,120","2,568,087,890,625","2,750,770,751,953,120"
O08756,Hsd17b10,"106,493,388,671,875","1,031,985,546,875","83,876,142,578,125","638,489,990,234,375"
O08759;O08759-2,Ube3a,"13,130,692,138,671,800","1,467,982,421,875","1,624,502,685,546,870","8,265,819,702,148,430"
O08784,Tcof1,"10,360,462,646,484,300","88,054,833,984,375","12,368,314,208,984,300","11,504,066,162,109,300"
O08788;O08788-2,Dctn1,"6,640,512,084,960,930","5,607,015,380,859,370","5,300,745,849,609,370","8,949,312,744,140,620"
O08795;O08795-2,Prkcsh,"2,988,387,939,453,120","3,574,689,208,984,370","2,394,903,564,453,120","2,917,054,931,640,620"
O08807,Prdx4,"114,730,712,890,625","116,375,556,640,625","100,649,462,890,625","96,431,318,359,375"
O08808,Diaph1,"6,965,078,125","6,914,647,216,796,870","4,915,538,024,902,340","20,437,349,853,515,600"
O08810,Eftud2,"639,081,298,828,125","759,383,837,890,625","8,660,455,078,125","771,802,685,546,875"
O08912,Galnt1,NaN,"10,288,155,364,990,200","15,902,679,443,359,300","12,654,139,995,574,900"
O08917,Flot1,"792,245,849,609,375","8,129,636,840,820,310","5,320,723,876,953,120","8,724,287,719,726,560"
O08997,Atox1,"31,249,599,609,375","287,164,892,578,125","2,728,220,458,984,370","23,742,861,328,125"
O09012;O09012-2,Pex5,"2,510,562,255,859,370","2,419,270,703,125","12,091,076,171,875","805,411,474,609,375"
O09044,Snap23,"367,912,158,203,125","3,081,763,916,015,620","33,232,666,015,625","4,066,113,525,390,620"
O09061,Psmb1,"82,528,759,765,625","9,460,310,546,875","1,012,663,671,875","1,330,815,625"
O09106,Hdac1,"104,953,623,046,875","105,607,158,203,125","1,136,312,109,375","1,118,653,515,625"
O09111,Ndufb11,"14,100,191,650,390,600","13,181,884,765,625","13,210,821,533,203,100","975,031,982,421,875"
O09131,Gsto1,"11,155,505,859,375","96,781,435,546,875","11,934,294,921,875","14,385,998,046,875"
O09159,Man2b1,"1,841,892,578,125","236,084,130,859,375","9,022,596,435,546,870","3,954,300,537,109,370"
O09167,Rpl21,"4,068,651,123,046,870","52,935,107,421,875","84,935,673,828,125","797,226,953,125"
O09172,Gclm,"480,555,859,375","574,793,212,890,625","7,000,939,453,125","387,028,271,484,375"
O35114,Scarb2,"276,902,978,515,625","2,615,941,650,390,620","10,873,099,365,234,300","1,422,626,220,703,120"
O35129,Phb2,"23,257,220,703,125","200,646,875","23,582,310,546,875","2,159,887,890,625"
O35130,Emg1,"6,283,324,584,960,930","1,041,909,912,109,370","14,374,384,765,625","7,881,329,956,054,680"
O35134,Polr1a,NaN,NaN,"8,983,753,967,285,150",NaN
O35166,Gosr2,"22,151,531,982,421,800","23,967,100,524,902,300","2,755,885,314,941,400","22,423,382,568,359,300"
O35215,Ddt,"8,884,779,052,734,370","8,044,360,961,914,060","7,813,482,055,664,060",NaN
O35218,Cpsf2,"2,699,348,876,953,120","2,805,185,302,734,370","20,305,933,837,890,600","11,371,607,666,015,600"
O35226;O35226-2;O35226-3;O35226-4;O35226-5,Psmd4,"3,997,885,498,046,870","3,900,946,533,203,120","3,709,753,173,828,120","582,160,986,328,125"
O35280;O35280-2,Chek1,"7,893,401,336,669,920",NaN,"18,376,724,243,164,000",NaN
O35286,Dhx15,"90,817,001,953,125","94,732,666,015,625","9,533,455,078,125","10,182,037,109,375"
O35295,Purb,"18,643,310,546,875","12,611,131,591,796,800","11,453,365,478,515,600","1,695,692,138,671,870"
O35326,Srsf5,"5,408,287,109,375","47,847,041,015,625","581,944,482,421,875","42,387,490,234,375"
O35344,Kpna3,"1,162,510,498,046,870","14,146,160,888,671,800","11,241,630,859,375","16,093,717,041,015,600"
O35350,Capn1,"50,533,017,578,125","431,708,740,234,375","3,392,921,630,859,370","49,108,427,734,375"
O35381,Anp32a,"15,261,986,328,125","1,227,893,359,375","1,239,792,578,125","16,970,599,609,375"
O35405,Pld3,"104,636,484,375","16,677,880,859,375","562,020,947,265,625","55,393,955,078,125"
O35435,Dhodh,"7,303,362,426,757,810","7,532,720,947,265,620","7,948,399,658,203,120",NaN
O35459,Ech1,"240,373,828,125","3,305,551,513,671,870","2,630,772,705,078,120","2,919,065,673,828,120"
O35473,C1d,NaN,"46,994,866,943,359,300","47,850,335,693,359,300","3,928,085,632,324,210"
O35593,Psmd14,"369,596,875","3,591,301,025,390,620","3,728,445,068,359,370","3,154,861,572,265,620"
O35609,Scamp3,"6,342,714,233,398,430","4,344,258,728,027,340","4,215,192,565,917,960","4,073,196,716,308,590"
O35639,Anxa3,"82,446,767,578,125","946,158,984,375","42,551,728,515,625","776,457,373,046,875"
O35643,Ap1b1,"278,333,642,578,125","2,316,660,888,671,870","26,902,978,515,625","2,215,234,375"
O35648,Cetn3,"5,593,239,135,742,180","640,454,345,703,125","5,728,692,626,953,120",NaN
O35654,Pold2,"8,696,885,986,328,120","7,308,834,228,515,620","9,184,935,913,085,930","8,123,013,305,664,060"
O35657,Neu1,"8,471,456,909,179,680","21,014,881,896,972,600",NaN,NaN
O35658,C1qbp,"1,385,718,359,375","19,077,921,875","17,053,048,828,125","18,452,568,359,375"
O35685,Nudc,"99,306,767,578,125","952,930,078,125","103,007,333,984,375","1,053,796,875"
O35691,Pnn,"3,574,314,697,265,620","4,002,069,091,796,870","4,201,939,453,125","3,449,399,169,921,870"
O35701,Matn3,"38,264,300,537,109,300","3,667,052,917,480,460","21,316,708,374,023,400","5,527,353,515,625"
O35737;P70333,Hnrnph1;Hnrnph2,"13,206,300,354,003,900","3,502,608,871,459,960","14,156,591,796,875","15,204,880,237,579,300"
O35744,Chil3,"2,672,843,125","36,676,178,125","222,672,609,375","226,840,703,125"
O35841,Api5,"709,275,732,421,875","754,693,115,234,375","83,987,763,671,875","86,301,767,578,125"
O35855,Bcat2,"6,187,041,015,625","806,132,470,703,125","522,895,166,015,625","4,094,236,572,265,620"
O35857,Timm44,"11,359,573,974,609,300","10,979,664,306,640,600","12,250,125,732,421,800","8,195,857,543,945,310"
O35887,Calu,"18,264,862,060,546,800","14,804,544,677,734,300","1,227,253,662,109,370","11,896,737,060,546,800"
O35892;O35892-2,Sp100,"5,725,344,848,632,810","3,313,930,358,886,710","370,033,203,125","31,895,269,775,390,600"
O35900,Lsm2,"7,826,083,984,375","515,631,591,796,875","10,531,630,859,375",NaN
O35955,Psmb10,"442,856,689,453,125","3,532,087,890,625","32,242,509,765,625","62,942,021,484,375"
O35963,Rab33b,"72,473,154,296,875","403,657,470,703,125","36,514,111,328,125","2,594,489,013,671,870"
O35972,Mrpl23,"3,348,341,979,980,460","2,941,603,088,378,900","25,631,671,142,578,100",NaN
O54734,Ddost,"72,773,212,890,625","796,136,767,578,125","77,230,869,140,625","82,468,955,078,125"
O54782,Man2b2,"1,660,000,732,421,870","27,967,763,671,875","1,021,955,078,125","2,180,152,099,609,370"
O54824;O54824-2,Il16,"18,478,389,892,578,100","15,848,150,634,765,600","10,068,783,569,335,900","246,512,890,625"
O54825,Bysl,"5,882,610,473,632,810","5,613,348,388,671,870","7,060,560,302,734,370","9,018,591,918,945,310"
O54833,Csnk2a2,"34,121,856,689,453,100","5,398,045,043,945,310","5,080,374,450,683,590","5,104,734,802,246,090"
