PG.ProteinGroups,PG.Genes,[1] MEP_mBM_500c_40.raw.PG.Quantity,[2] MEP_mBM_500c_41.raw.PG.Quantity,[3] MEP_mBM_500c_42.raw.PG.Quantity,[4] MEP_mBM_500c_43.raw.PG.Quantity
A1L317,Krt24,"3,838,785,705,566,400","120,497,900,390,625","9,796,168,212,890,620","11,171,880,960,464,400"
A2A432;A2A432-2,Cul4b,NaN,"497,205,029,296,875","2,998,057,861,328,120","3,058,114,990,234,370"
A2AB59;A2AB59-2,Arhgap27,"50,533,564,453,125",NaN,NaN,NaN
A2ADY9,Ddi2,"6,101,871,948,242,180",NaN,"3,817,578,369,140,620","193,839,111,328,125"
A2AGT5;A2AGT5-2;A2AGT5-3,Ckap5,NaN,"72,014,765,625","638,565,771,484,375","8,821,498,046,875"
A2AJ15,Man1b1,"248,907,373,046,875",NaN,NaN,NaN
A2AN08;A2AN08-3;A2AN08-5,Ubr4,"16,092,349,853,515,600","9,028,946,533,203,120","16,684,053,955,078,100","2,081,729,248,046,870"
A2AQ19,Rtf1,NaN,"2,702,970,703,125","43,941,689,453,125","684,649,072,265,625"
A2AR02,Ppig,NaN,"6,782,814,331,054,680","123,422,119,140,625","13,357,318,115,234,300"
A2ASS6,Ttn,"203,489,453,125","3,861,552,978,515,620","28,099,568,359,375","4,011,055,419,921,870"
A2AWP8;A2AWP8-2;A2AWP8-3;A2AWP8-4,Arhgef10l,"3,549,989,990,234,370",NaN,NaN,NaN
B2RQC6;B2RQC6-2,Cad,"9,681,878,051,757,810","5,146,232,421,875","632,793,701,171,875","806,907,470,703,125"
B2RRE7,Otud4,NaN,NaN,"7,157,189,453,125","129,449,365,234,375"
B2RXS4,Plxnb2,"97,344,091,796,875",NaN,NaN,NaN
B2RY56,Rbm25,NaN,"1,129,657,470,703,120","17,644,735,107,421,800","201,117,236,328,125"
B9EKI3,Tmf1,"2,477,360,076,904,290",NaN,NaN,NaN
C0HKD8;C0HKD9,Mfap1a;Mfap1b,NaN,"8,522,296,752,929,680","9,143,517,456,054,680","11,780,447,998,046,800"
