PG.ProteinGroups;PG.Genes;[1] GMP_mBM_500c_36.raw.PG.Quantity;[2] GMP_mBM_500c_37.raw.PG.Quantity;[3] GMP_mBM_500c_38.raw.PG.Quantity;[4] GMP_mBM_500c_39.raw.PG.Quantity
A2ADY9;Ddi2;993,2152709960938;1390,9698486328125;703,1865234375;1394,771728515625
"A2AGT5;A2AGT5-2;A2AGT5-3";Ckap5;6765,75390625;3179,423583984375;4629,1005859375;3350,278076171875
A2AIV8;Card9;3291,961181640625;4628,18603515625;318,79931640625;3365,655029296875
A2AKG8;Focad;31,238431930541992;279,7583312988281;463,0515441894531;NaN
"A2AN08;A2AN08-2;A2AN08-3;A2AN08-5";Ubr4;101,509521484375;115,34674072265625;176,7622528076172;215,38990783691406
A2ASS6;Ttn;3707,6318359375;12429,6396484375;5814,13330078125;4664,435546875
B1AQ75;Krt36;175,83978271484375;NaN;NaN;87,7763442993164
"B2RQC6;B2RQC6-2";Cad;4624,23095703125;6547,634765625;5785,15673828125;8074,2646484375
B2RY56;Rbm25;266,6578674316406;636,5380249023438;436,3243713378906;703,7747192382812
B9EJ86;Osbpl8;70,64305877685547;NaN;NaN;NaN
"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2";"Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj";391256,40625;522487,78125;334486,40625;275874,34375
D0QMC3;Mndal;7503,15673828125;5289,60107421875;5620,76123046875;5133,771484375
"D3Z4I3;Q62176";"Rbm24;Rbm38";769,2374877929688;732,6233520507812;947,4166259765625;547,6227416992188
D3Z6Q9;Bin2;5859,21044921875;2850,300048828125;3657,749267578125;4372,5517578125
D3Z7H8;Cilp2;1313,546875;NaN;NaN;NaN
"D3Z7P3;D3Z7P3-2";Gls;622,620361328125;856,6224365234375;480,0910949707031;891,6944580078125
"E9PV24;E9PV24-2";Fga;1134,25048828125;53,758949279785156;412,44354248046875;118,83488464355469
E9PVA8;Gcn1;1910,89501953125;3103,59033203125;1382,10888671875;3120,051025390625
E9PVX6;Mki67;6136,69482421875;10894,8388671875;5995,98193359375;5343,60595703125
E9Q1P8;Irf2bp2;673,3273315429688;1284,4620361328125;916,05517578125;1040,9708251953125
E9Q555;Rnf213;596,5902099609375;690,3796997070312;883,7881469726562;883,3635864257812
E9Q557;Dsp;231994,390625;21016,77734375;43368,078125;5467,45068359375
"E9Q5C9;E9Q5C9-2";Nolc1;4547,78857421875;7427,74365234375;2958,40380859375;6804,03466796875
E9Q7G0;Numa1;4942,568359375;5359,29443359375;5249,60693359375;4889,65478515625
E9Q7T7;Chadl;4610,48291015625;NaN;NaN;NaN
E9Q8T7;Dnah1;2386,67138671875;3227,693115234375;246,01998901367188;2013,8485107421875
F6ZDS4;Tpr;4377,8486328125;5953,5927734375;4752,8134765625;5786,8193359375
F7BJB9;Morc3;124,57627868652344;765,5332641601562;486,9582214355469;568,7235107421875
G3X9C2;Nccrp1;26013,49609375;4559,8994140625;5030,87744140625;1157,2109375
G5E870;Trip12;502,0910339355469;NaN;282,78179931640625;355,0234680175781
O08528;Hk2;1537,30322265625;920,0481567382812;919,03271484375;631,1039428710938
"O08539;O08539-2";Bin1;138,83102416992188;1400,7230224609375;954,0328369140625;889,784912109375
O08547;Sec22b;8648,6376953125;3324,93115234375;3609,35595703125;4068,671142578125
O08553;Dpysl2;813,6123657226562;1973,186279296875;917,6317749023438;838,8524780273438
"O08573;O08573-2;O08573-3";Lgals9;3965,27685546875;8915,5947265625;9675,193359375;8015,98095703125
O08579;Emd;663,8689575195312;763,0491333007812;799,9357299804688;1048,7672119140625
O08582;Gtpbp1;2506,41357421875;3246,71923828125;4394,18310546875;3745,98486328125
"O08583;O08583-2";Alyref;4917,40380859375;7519,7197265625;5504,2236328125;5290,6728515625
O08585;Clta;682,1734008789062;966,6934814453125;1206,8067626953125;832,0520629882812
O08663;Metap2;703,8993530273438;950,7810668945312;606,5425415039062;1062,9210205078125
O08692;Ngp;170561,609375;95373,6875;286855,75;132691,796875
O08709;Prdx6;32969,00390625;35089,53125;56048,890625;53075,515625
O08734;Bak1;806,233642578125;NaN;543,3789672851562;744,4549560546875
O08739;Ampd3;214,71292114257812;319,8035888671875;298,93499755859375;222,74252319335938
O08749;Dld;17622,578125;15389,333984375;13622,7080078125;14419,392578125
O08756;Hsd17b10;13190,4482421875;12386,9208984375;13990,4794921875;13835,34765625
"O08759;O08759-2;O08759-3";Ube3a;660,3855590820312;1334,8690185546875;NaN;807,0687255859375
O08784;Tcof1;2115,86865234375;1748,6854248046875;1517,02099609375;2058,375244140625
"O08788;O08788-2";Dctn1;2273,817626953125;3284,239990234375;3531,495361328125;3217,661865234375
"O08795;O08795-2";Prkcsh;3298,362548828125;2798,511474609375;3171,0283203125;2711,62451171875
O08807;Prdx4;2536,904296875;1405,5535888671875;1290,3651123046875;1213,23388671875
O08808;Diaph1;1490,4017333984375;1067,908203125;1532,884765625;1330,260498046875
O08810;Eftud2;5163,87841796875;6697,560546875;4886,939453125;6620,896484375
O08912;Galnt1;NaN;NaN;549,7852783203125;327,9160461425781
O08917;Flot1;3446,6337890625;2639,46923828125;3491,03759765625;2536,344482421875
O08997;Atox1;5502,81396484375;5790,60302734375;6597,24853515625;6990,6806640625
O09044;Snap23;6712,19140625;5900,248046875;4880,60205078125;6758,9169921875
O09061;Psmb1;11946,041015625;9364,8017578125;11154,4296875;10486,873046875
O09106;Hdac1;11579,99609375;13266,751953125;11215,103515625;12867,212890625
O09111;Ndufb11;1674,3770751953125;2169,40771484375;1143,6971435546875;1411,59619140625
O09131;Gsto1;8267,9931640625;7442,34130859375;11066,021484375;11129,75390625
O09159;Man2b1;9262,5830078125;5060,85302734375;7956,5908203125;6271,9697265625
O09165;Casq1;3537,1611328125;2078,15966796875;560,4036254882812;493,226318359375
O09167;Rpl21;2235,89111328125;4868,08935546875;5332,0517578125;7020,875
O09172;Gclm;3488,92626953125;4800,611328125;3781,461669921875;5535,00048828125
O35103;Omd;506,60357666015625;NaN;NaN;NaN
O35114;Scarb2;3165,852294921875;1220,1898193359375;1472,0667724609375;1032,6607666015625
O35129;Phb2;22707,4296875;30647,919921875;16264,1640625;30374,90234375
O35130;Emg1;599,542236328125;899,5194702148438;620,1965942382812;1359,0428466796875
O35215;Ddt;729,38623046875;316,1340026855469;461,06097412109375;466,1782531738281
O35218;Cpsf2;8555,66796875;11773,7783203125;9240,26171875;14106,6904296875
"O35226;O35226-2;O35226-3;O35226-4;O35226-5";Psmd4;2402,144775390625;2310,485107421875;680,2960205078125;907,5525512695312
"O35250;O35250-2";Exoc7;142,53067016601562;165,41209411621094;142,39854431152344;196,95022583007812
O35286;Dhx15;6084,77685546875;7031,38427734375;7658,177734375;7444,01123046875
O35326;Srsf5;4563,55322265625;5268,09912109375;3637,968017578125;5378,15869140625
O35344;Kpna3;574,2643432617188;1198,0272216796875;794,53515625;1107,8182373046875
O35350;Capn1;7240,70263671875;6293,53857421875;6124,77294921875;5874,0908203125
O35381;Anp32a;14811,1416015625;12902,2333984375;15272,724609375;15642,7841796875
O35405;Pld3;25878,78125;11649,033203125;15838,615234375;13976,8046875
O35435;Dhodh;1005,83837890625;1087,03759765625;768,1876831054688;1368,8572998046875
O35448;Ppt2;30,28262710571289;NaN;NaN;NaN
O35459;Ech1;2248,85107421875;1906,0408935546875;1861,0899658203125;1421,72509765625
O35593;Psmd14;515,9530029296875;956,0836791992188;819,7996215820312;1004,1966552734375
O35609;Scamp3;1877,024658203125;1292,486572265625;1640,6077880859375;1738,4071044921875
O35639;Anxa3;11075,349609375;8532,9169921875;19202,591796875;8919,685546875
O35643;Ap1b1;4467,328125;4096,22998046875;3958,94677734375;4032,57177734375
O35654;Pold2;467,9456481933594;831,5603637695312;1007,2901000976562;825,7955932617188
O35658;C1qbp;18385,435546875;25928,41796875;20260,876953125;24258,740234375
O35685;Nudc;7797,7822265625;10425,716796875;11021,5908203125;13315,9970703125
O35691;Pnn;2830,404541015625;3907,10888671875;2321,823486328125;3717,37109375
O35701;Matn3;8134,4833984375;520,7374877929688;NaN;341,51019287109375
O35737;Hnrnph1;1162,2623291015625;1607,651611328125;1674,078125;1640,556884765625
O35744;Chil3;481727,15625;256408,453125;931494,875;317206,21875
O35841;Api5;6054,4189453125;8352,0537109375;6580,8583984375;8026,24072265625
O35855;Bcat2;9629,853515625;7760,775390625;8626,232421875;6632,0234375
O35857;Timm44;547,3341674804688;904,6023559570312;220,29638671875;928,6668701171875
O35864;Cops5;464,3977966308594;725,7415771484375;1052,1619873046875;1137,5015869140625
O35887;Calu;2568,5869140625;2002,0985107421875;2026,42333984375;1661,1561279296875
O35955;Psmb10;3965,341796875;2027,646240234375;3881,617431640625;3531,997802734375
O35972;Mrpl23;421,3939208984375;444,4866027832031;532,7614135742188;426,2826232910156
O54724;Cavin1;1595,6593017578125;217,0865020751953;NaN;172,6859893798828
O54734;Ddost;21479,185546875;14524,9228515625;12521,412109375;11727,01953125
O54782;Man2b2;4606,884765625;2440,93505859375;4305,69091796875;2835,393310546875
"O54824;O54824-2";Il16;2431,276123046875;2068,016845703125;2308,052978515625;1658,9278564453125
O54825;Bysl;461,0309143066406;671,9556274414062;377,1611633300781;945,4998779296875
O54833;Csnk2a2;1123,99658203125;1051,0732421875;930,8704223632812;1289,57275390625
O54879;Hmgb3;6354,23486328125;6399,517578125;7908,9228515625;8289,4697265625
O54890;Itgb3;794,7987060546875;383,6551513671875;303,153564453125;530,826416015625
O54941;Smarce1;1044,7110595703125;1761,177001953125;1253,6439208984375;1199,858154296875
O54962;Banf1;31099,205078125;30610,26171875;32728,509765625;32160,78515625
O54984;Asna1;5932,54931640625;5680,71875;7686,72265625;6058,9677734375
O55013;Trappc3;742,2173461914062;598,8726806640625;839,5753784179688;636,6262817382812
O55022;Pgrmc1;2976,892822265625;2840,626953125;1525,82958984375;2821,066650390625
O55023;Impa1;6445,31201171875;2822,587890625;3322,91796875;3151,233154296875
O55029;Copb2;5740,85693359375;3910,658203125;4144,53466796875;2441,007568359375
"O55042;O55042-2";Snca;8615,310546875;7665,68798828125;8426,0888671875;3696,564208984375
O55098;Stk10;546,066650390625;326,7913513183594;405,6557312011719;375,61456298828125
O55126;Nipsnap2;1548,0848388671875;1419,6446533203125;1296,4974365234375;984,3512573242188
O55131;Sept7;4029,1552734375;3383,823974609375;4409,71142578125;4078,5986328125
O55135;Eif6;617,7911376953125;NaN;1,1878068447113037;27,699493408203125
O55142;Rpl35a;12374,19921875;15352,5556640625;16107,068359375;15758,0439453125
"O55143;O55143-2";Atp2a2;10900,326171875;8597,6298828125;7071,0439453125;7840,4052734375
"O55201;O55201-2";Supt5h;127,33897399902344;407,57568359375;203,2203369140625;351,7536315917969
O55222;Ilk;1569,4110107421875;1745,1533203125;2664,12255859375;1632,8304443359375
O55226;Chad;214717,28125;1272,341064453125;1077,2471923828125;1476,447265625
O55234;Psmb5;5958,4345703125;5529,67431640625;5550,24755859375;4510,78662109375
O70126;Aurkb;220,60902404785156;200,55108642578125;NaN;NaN
"O70133;O70133-2";Dhx9;10710,88671875;12521,51171875;9045,2880859375;10313,025390625
O70138;Mmp8;3805,651611328125;323,5877990722656;2445,27392578125;2657,059326171875
O70145;Ncf2;6122,359375;3872,10595703125;9502,373046875;5242,12255859375
O70152;Dpm1;NaN;994,802001953125;899,8211669921875;865,416259765625
O70172;Pip4k2a;1329,4052734375;1446,5291748046875;1943,5364990234375;1403,571533203125
O70194;Eif3d;40944,1484375;46721,3046875;63134,69921875;59954,328125
O70251;Eef1b;22261,431640625;32253,45703125;36277,87109375;31367,009765625
O70252;Hmox2;7867,67578125;7609,56103515625;7127,21337890625;6726,28076171875
O70310;Nmt1;375,5682067871094;968,4595947265625;676,2338256835938;1723,62744140625
