PG.ProteinGroups;PG.Genes;[1] HSC_mBM_500c_49.raw.PG.Quantity;[2] HSC_mBM_500c_50.raw.PG.Quantity;[3] HSC_mBM_500c_51.raw.PG.Quantity;[4] HSC_mBM_500c_56.raw.PG.Quantity
A2ADY9;Ddi2;1672,9742431640625;1295,440185546875;1187,45556640625;1802,3924560546875
"A2AGT5;A2AGT5-2;A2AGT5-3";Ckap5;4037,074951171875;3363,938232421875;3236,297119140625;4098,087890625
A2APB8;Tpx2;NaN;461,6780090332031;446,7773132324219;NaN
A2AR02;Ppig;504,5869140625;799,2947387695312;537,119140625;619,9302368164062
A2ASS6;Ttn;1016,3968505859375;1385,23583984375;2067,78662109375;2597,450439453125
"A2BH40;A2BH40-2;A2BH40-3;A2BH40-4";Arid1a;2133,029296875;1497,6634521484375;1455,044677734375;1823,3896484375
"A8C756;A8C756-2;A8C756-3";Thada;NaN;159,47850036621094;414,3839111328125;145,8646697998047
B1AY13;Usp24;244,93746948242188;226,29965209960938;98,5904541015625;NaN
B1AZI6;Thoc2;425,23828125;358,8768615722656;425,590576171875;NaN
"B2RQC6;B2RQC6-2";Cad;7613,99658203125;7485,15625;8823,5234375;7760,45166015625
"B2RUP2;B2RUP2-2";Unc13d;218,09820556640625;184,72560119628906;86,85440063476562;NaN
B2RY56;Rbm25;774,8504028320312;928,41796875;619,61767578125;551,2749633789062
"C0HKD8;C0HKD9";"Mfap1a;Mfap1b";311,4527893066406;349,84075927734375;315,92987060546875;386,4923095703125
"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2";"Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj";286552,78125;259255,359375;263120,625;223228,90625
"C0HKG5;C0HKG6";"Rnaset2a;Rnaset2b";887,55517578125;1223,3641357421875;676,919921875;1326,0916748046875
"D3Z4I3;Q62176";"Rbm24;Rbm38";392,6495361328125;NaN;293,9718322753906;194,4088897705078
D3Z6Q9;Bin2;3219,984375;2396,8125;1647,3055419921875;3076,161376953125
"D3Z7P3;D3Z7P3-2";Gls;1550,8038330078125;1547,145263671875;2151,851318359375;1845,126953125
E9PVA8;Gcn1;1752,7010498046875;1316,95361328125;1719,549560546875;2049,867919921875
E9PVX6;Mki67;10619,3173828125;7768,8310546875;10016,283203125;7402,169921875
E9Q1P8;Irf2bp2;663,1511840820312;727,2144775390625;737,3765869140625;641,4140625
E9Q555;Rnf213;696,3585815429688;670,3661499023438;755,7214965820312;901,075439453125
E9Q557;Dsp;3161,278564453125;2747,756103515625;1540,44580078125;1791,9581298828125
"E9Q5C9;E9Q5C9-2";Nolc1;4468,63134765625;4533,607421875;6091,8740234375;4130,8701171875
E9Q7G0;Numa1;20682,15625;17012,609375;18087,748046875;25497,431640625
E9Q8T7;Dnah1;926,7724609375;2920,38427734375;2753,265869140625;3589,71630859375
F6ZDS4;Tpr;3091,087646484375;3287,3505859375;3577,34521484375;3001,819091796875
G3UYX5;Rgs22;1962,1005859375;1490,0660400390625;2082,514404296875;4114,63525390625
G3X9C2;Nccrp1;306,296142578125;389,5218200683594;NaN;61,94938659667969
G5E870;Trip12;534,6591186523438;455,94903564453125;402,0284423828125;6,444972991943359
O08547;Sec22b;3050,942626953125;2912,537109375;2725,701416015625;1692,141845703125
