PG.ProteinGroups;PG.Genes;[1] MEP_mBM_500c_40.raw.PG.Quantity;[2] MEP_mBM_500c_41.raw.PG.Quantity;[3] MEP_mBM_500c_42.raw.PG.Quantity;[4] MEP_mBM_500c_43.raw.PG.Quantity
A1L317;Krt24;383,8785705566406;1204,97900390625;979,6168212890625;1,1171880960464478
"A2A432;A2A432-2";Cul4b;NaN;4972,05029296875;2998,057861328125;3058,114990234375
"A2AB59;A2AB59-2";Arhgap27;5053,3564453125;NaN;NaN;NaN
A2ADY9;Ddi2;610,1871948242188;NaN;3817,578369140625;1938,39111328125
"A2AGT5;A2AGT5-2;A2AGT5-3";Ckap5;NaN;7201,4765625;6385,65771484375;8821,498046875
A2AJ15;Man1b1;2489,07373046875;NaN;NaN;NaN
"A2AN08;A2AN08-3;A2AN08-5";Ubr4;1609,2349853515625;902,8946533203125;1668,4053955078125;2081,729248046875
A2AQ19;Rtf1;NaN;2702,970703125;4394,1689453125;6846,49072265625
A2AR02;Ppig;NaN;678,2814331054688;1234,22119140625;1335,7318115234375
A2ASS6;Ttn;20348,9453125;3861,552978515625;28099,568359375;4011,055419921875
"A2AWP8;A2AWP8-2;A2AWP8-3;A2AWP8-4";Arhgef10l;3549,989990234375;NaN;NaN;NaN
"B2RQC6;B2RQC6-2";Cad;968,1878051757812;5146,232421875;6327,93701171875;8069,07470703125
B2RRE7;Otud4;NaN;NaN;7157,189453125;1294,49365234375
B2RXS4;Plxnb2;9734,4091796875;NaN;NaN;NaN
B2RY56;Rbm25;NaN;1129,657470703125;1764,4735107421875;2011,17236328125
B9EKI3;Tmf1;247,7360076904297;NaN;NaN;NaN
"C0HKD8;C0HKD9";"Mfap1a;Mfap1b";NaN;852,2296752929688;914,3517456054688;1178,0447998046875
"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2";"Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj";604445,1875;466548,8125;826711,5;934928
D0QMC3;Mndal;NaN;NaN;1871,522705078125;2073,69580078125
D3YZF7;Vsig10l;6209,3017578125;NaN;NaN;NaN
D3YZP9;Ccdc6;6065,38623046875;NaN;NaN;622,6044921875
D3Z6Q9;Bin2;2253,489990234375;15280,42578125;6148,39599609375;13979,53515625
"E9PV24;E9PV24-2";Fga;NaN;NaN;716325,75;10237,6796875
E9PVA8;Gcn1;3918,528564453125;3613,25830078125;3278,1943359375;4765,72265625
